tag	file	line	flags	法人番号	会社名
unit_million	111.fixed.csv	1977	rep_zip_is_listed_status,phone_pure_small_int,rep_addr_looks_like_close_date	4.33E+12	山都酒造株式会社
unit_million	12_20251224.csv	2037	rep_zip_is_listed_status,listed_long_text	2021001033448	株式会社典
unit_million	32.csv	1249	rep_zip_is_listed_status,phone_pure_small_int,rep_addr_looks_like_close_date	5122001030307	株式会社CROSLAN
unit_million	4.csv	1393	phone_pure_small_int,listed_long_text		栄伸開発株式会社
unit_million	5_20251224.csv	1643	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date	4290001061802	株式会社グローバルギア
unit_million	6_20251224.csv	2029	rep_zip_is_listed_status,listed_long_text	2021001033448	株式会社典
unit_million	8_20251224.csv	144	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text	9400001006492	株式会社近藤設備
unit_million	import_firstTime_101.csv	15452	rep_zip_looks_like_date		株式会社ゼンケア
unit_million	import_firstTime_4.csv	712	capital_not_numeric		株式会社桐井製作所
unit_yen	19.csv	207	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date	6011501020570	株式会社インフィニティエージェント
unit_yen	30.csv	169	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date	6011501020570	株式会社インフィニティエージェント
unit_yen	import_firstTime_3.csv	52	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date		新英金属株式会社
unit_yen	import_firstTime_40.csv	52	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date	9180301012965	新英金属株式会社
unit_yen	import_firstTime_40.csv	161	rep_zip_is_listed_status,phone_pure_small_int,listed_long_text,rep_addr_looks_like_close_date	1030001064965	吉野電化工業株式会社
unit_yen	import_firstTime_5.csv	617	capital_not_numeric		株式会社桐井製作所
unit_yen	import_firstTime_6.csv	636	rep_zip_is_listed_status,phone_pure_small_int,rep_addr_looks_like_close_date		SUNITED株式会社
