folder	file	nda_seijyun_rows
unit_million	10_20251224.csv	135
unit_million	11.csv	1046
unit_million	12.csv	485
unit_million	12_20251224.csv	115
unit_million	14.csv	284
unit_million	16.csv	1494
unit_million	17.csv	1216
unit_million	17_20251224.csv	67
unit_million	18.csv	1659
unit_million	18_20251224.csv	129
unit_million	1_20251224.csv	72
unit_million	21.csv	1125
unit_million	22.csv	29
unit_million	25.csv	619
unit_million	28.csv	212
unit_million	2_20251224.csv	106
unit_million	32.csv	1542
unit_million	3_20251224.csv	49
unit_million	4_20251224.csv	72
unit_million	5_20251224.csv	78
unit_million	6.csv	1370
unit_million	6_20251224.csv	115
unit_million	7.csv	2060
unit_million	7_20251224.csv	86
unit_million	8.csv	1157
unit_million	8_20251224.csv	79
unit_million	9.csv	1359
unit_million	9_20251224.csv	80
unit_million	import_firstTime_108.csv	2075
unit_million	import_firstTime_118.csv	39
unit_million	import_firstTime_119.csv	1568
unit_million	import_firstTime_120.csv	244
unit_million	import_firstTime_121.csv	247
unit_million	import_firstTime_123.csv	307
unit_million	import_firstTime_125.csv	268
unit_million	import_firstTime_36.csv	2075
unit_million	import_firstTime_4.csv	1266
unit_million	import_firstTime_43.csv	232
unit_million	import_firstTime_44.csv	244
unit_million	import_firstTime_45.csv	194
unit_million	import_firstTime_46.csv	206
unit_million	import_firstTime_47.csv	310
unit_million	import_firstTime_49.csv	309
unit_yen	10.csv	1446
unit_yen	11_20251224.csv	22
unit_yen	13.csv	284
unit_yen	15.csv	226
unit_yen	16_20251224.csv	179
unit_yen	19.csv	845
unit_yen	20.csv	1388
unit_yen	23.csv	766
unit_yen	24.csv	1124
unit_yen	27.csv	1106
unit_yen	29.csv	1410
unit_yen	30.csv	507
unit_yen	31.csv	434
unit_yen	import_firstTime_124.csv	291
unit_yen	import_firstTime_3.csv	397
unit_yen	import_firstTime_5.csv	1128
unit_yen	import_firstTime_6.csv	838
